record_id,sku,name,department,product_type,database_product_present,admin_media_count,has_admin_cover,admin_alt_locales,theme_asset,theme_asset_width,theme_asset_height,theme_css_mapping,current_source,rights_status,quality_status,missing_admin_gallery_slots,migration_action,launch_media_ready
F11,VLS-FUR-000011,"Varo Oak Coffee Table",furniture,coffee_tables,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f11-varo-oak-coffee-table-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F12,VLS-FUR-000012,"Neri Marble Side Table",furniture,side_tables,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f12-neri-marble-side-table-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F13,VLS-FUR-000013,"Portico Travertine Console",furniture,consoles,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f13-portico-travertine-console-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F14,VLS-FUR-000014,"Linea Writing Desk",furniture,desks,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f14-linea-writing-desk-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F15,VLS-FUR-000015,"Serein Platform Bed",furniture,beds,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f15-serein-platform-bed-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F16,VLS-FUR-000016,"Vale Low Cabinet",furniture,storage,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f16-vale-low-cabinet-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F17,VLS-FUR-000017,"Canto Tall Cabinet",furniture,storage,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f17-canto-tall-cabinet-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F18,VLS-FUR-000018,"Mira Leather Day Chair",furniture,lounge_chairs,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f18-mira-leather-day-chair-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F19,VLS-FUR-000019,"Plinth Glass Side Table",furniture,side_tables,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f19-plinth-glass-side-table-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
L01,VLS-LGT-000001,"Nocturne Floor Lamp",lighting,floor_lamps,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
L02,VLS-LGT-000002,"Orbis Counterweighted Floor Lamp",lighting,floor_lamps,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
L03,VLS-LGT-000003,"Lumen Ceramic Table Lamp",lighting,table_lamps,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
L04,VLS-LGT-000004,"Halo Ribbed Glass Pendant",lighting,pendant_lights,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
L05,VLS-LGT-000005,"Axis Linear Floor Lamp",lighting,floor_lamps,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
L06,VLS-LGT-000006,"Alba Stone Table Lamp",lighting,table_lamps,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
L07,VLS-LGT-000007,"Vela Ceramic Table Lamp",lighting,table_lamps,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
L08,VLS-LGT-000008,"Meridian Pendant",lighting,pendant_lights,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
L09,VLS-LGT-000009,"Lucent Glass Wall Light",lighting,wall_lighting,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
L10,VLS-LGT-000010,"Linea Wall Sconce",lighting,wall_lighting,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
D01,VLS-DEC-000001,"Atelier Stone Vessel",decor_objects,vessels,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
D02,VLS-DEC-000002,"Cairn Stone Vessel",decor_objects,vessels,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
D03,VLS-DEC-000003,"Tectona Travertine Vessel",decor_objects,vessels,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
D04,VLS-DEC-000004,"Meridian Cast Sculpture",decor_objects,sculptural_objects,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
D05,VLS-DEC-000005,"Arc Full-Length Mirror",decor_objects,mirrors,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
D06,VLS-DEC-000006,"Strata Valet Tray",decor_objects,trays,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
D07,VLS-DEC-000007,"Forma Ceramic Object",decor_objects,decorative_objects,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
D08,VLS-DEC-000008,"Monolith Stone Object",decor_objects,sculptural_objects,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
D09,VLS-DEC-000009,"Orbit Metal Object",decor_objects,decorative_objects,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
T01,VLS-TEX-000001,"Tactile Hand-Knotted Rug",textiles_rugs,rugs,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
T02,VLS-TEX-000002,"Loma Wool Runner",textiles_rugs,rugs,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
T03,VLS-TEX-000003,"Sera Woven Throw",textiles_rugs,throws,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
T04,VLS-TEX-000004,"Vale Textured Cushion",textiles_rugs,cushions,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
T05,VLS-TEX-000005,"Noma Boucle Cushion",textiles_rugs,cushions,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
K01,VLS-DIN-000001,"Calma Travertine Dining Table",dining_kitchen,dining_tables,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
K02,VLS-DIN-000002,"Sera Ceramic Place Setting",dining_kitchen,tableware,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
K03,VLS-DIN-000003,"Talo Oak Serving Board",dining_kitchen,serveware,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
K04,VLS-DIN-000004,"Linea Countertop Object",dining_kitchen,kitchen_objects,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
O01,VLS-OUT-000001,"Terra Outdoor Lounge Chair",outdoor,outdoor_seating,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
O02,VLS-OUT-000002,"Monolith Outdoor Table",outdoor,outdoor_tables,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
O03,VLS-OUT-000003,"Grove Teak Planter",outdoor,planters_objects,yes,0,no,0,,,,no,none,unverified,not_available,5,source_governed_media,no
